case_id,state,district,project_type,land_area_acres,number_of_landowners,acquisition_stage,number_of_objections,number_of_court_cases,compensation_completed_pct,pending_approvals,days_in_current_stage,approximate_delay_days,notification_3a_date,sanction_date,notification_3d_date,sanction_amount_lakh,land_acquisition_agency,environmental_clearance,forest_clearance,relocation_required,structures_affected,dispute_severity,payment_status,document_verification_status,project_length_km,last_review_days_ago
AH100020,Haryana,Karnal,Bypass,7.97,5.0,Compensation,0.0,1.0,53.0,1.0,124.0,124,2025-03-26,2024-04-26,2024-09-21,4186.0,District Administration,Completed,Completed,No,15.0,None,Partial,Complete,176.34,128.0
AH100021,Madhya Pradesh,Jabalpur,Bridge,15.69,9.0,Objection,4.0,0.0,22.9,1.0,25.0,96,2024-11-29,2025-06-26,2025-08-17,2175.0,District Administration,Pending,Completed,No,8.0,High,Partial,Complete,139.14,155.0
AH100022,Uttar Pradesh,Meerut,Railway,70.15,27.0,Objection,1.0,0.0,27.3,0.0,101.0,115,2024-06-13,2025-09-23,2025-11-18,1067.0,District Administration,Completed,Pending,No,10.0,High,Partial,Complete,137.49,129.0
AH100023,Himachal Pradesh,Kangra,Road Widening,5.86,3.0,Possession,1.0,0.0,91.6,0.0,113.0,70,2026-04-14,2025-05-05,2025-07-19,4807.0,State PWD,Pending,Completed,No,11.0,None,Complete,Partial,152.18,121.0
AH100024,Punjab,,Bypass,5.1,4.0,Notification,0.0,0.0,15.8,1.0,51.0,62,2025-12-04,2024-10-04,2025-01-14,61.0,District Administration,Completed,Pending,No,30.0,Low,Complete,Partial,40.87,164.0
AH100025,Uttarakhand,Dehradun,Railway,12.76,2.0,Possession,0.0,0.0,94.4,0.0,76.0,56,2025-08-02,2024-02-23,2024-07-24,2056.0,Special LA Unit,Completed,Not Required,No,29.0,None,Pending,Complete,145.9,67.0
AH100026,Madhya Pradesh,Jabalpur,Highway,43.66,16.0,Compensation,1.0,0.0,89.2,1.0,114.0,129,2024-12-28,2025-08-26,2025-10-26,3645.0,NHAI,Pending,Not Required,No,17.0,Low,Complete,Complete,147.24,56.0
AH100027,Punjab,Amritsar,Highway,13.91,6.0,Compensation,0.0,0.0,81.9,0.0,150.0,99,2026-01-10,2025-09-20,2026-02-14,3976.0,NHAI,Completed,Completed,Yes,7.0,None,Complete,Pending,161.12,64.0
AH100028,Haryana,Hisar,Road Widening,12.4,3.0,Objection,1.0,0.0,12.7,3.0,26.0,83,2025-05-05,2025-03-06,2025-08-19,3443.0,State PWD,Pending,Completed,No,16.0,None,Complete,Pending,34.18,51.0
AH100029,Haryana,Rohtak,Road Widening,13.79,6.0,Possession,0.0,1.0,91.6,1.0,24.0,28,2025-02-03,2025-10-06,2026-01-09,2473.0,District Administration,Not Required,Pending,Yes,12.0,None,Partial,Complete,57.0,77.0
AH100030,Haryana,Rohtak,Bypass,5.08,1.0,Possession,0.0,0.0,97.9,0.0,71.0,39,2025-02-09,2025-12-02,2026-05-25,4616.0,NHAI,Completed,Completed,No,0.0,None,Pending,Pending,63.38,6.0
AH100031,Uttar Pradesh,Prayagraj,Highway,13.91,7.0,Compensation,2.0,0.0,84.5,2.0,162.0,161,2024-07-23,2025-04-06,2025-09-17,1213.0,District Administration,Completed,Completed,No,11.0,None,Complete,Partial,128.77,90.0
AH100032,Rajasthan,Jaipur,Highway,8.55,5.0,Compensation,0.0,0.0,80.6,0.0,70.0,88,2024-03-23,2024-02-12,2024-07-10,753.0,NHAI,Completed,Not Required,No,10.0,None,Partial,Pending,47.28,115.0
AH100033,Haryana,Sirsa,Highway,36.75,14.0,Award,0.0,0.0,23.9,5.0,32.0,118,2025-05-14,2026-02-22,2026-05-20,,NHAI,Completed,Completed,No,17.0,None,Pending,Complete,15.16,68.0
AH100034,Himachal Pradesh,Kangra,Bypass,23.53,11.0,Notification,1.0,0.0,20.5,5.0,28.0,105,2026-03-10,2025-02-24,2025-05-10,1636.0,State PWD,Pending,Completed,Yes,24.0,None,Partial,Pending,27.54,83.0
AH100035,Rajasthan,Ajmer,Highway,3.88,3.0,Possession,0.0,0.0,98.1,0.0,111.0,65,2024-02-27,2025-08-28,2026-02-03,2372.0,NHAI,Not Required,Completed,No,25.0,None,Complete,Complete,98.82,177.0
AH100036,Himachal Pradesh,Solan,Bypass,9.39,5.0,Notification,1.0,0.0,9.8,1.0,28.0,74,2026-02-11,2026-03-30,2026-07-04,2311.0,District Administration,Completed,Not Required,No,30.0,None,Pending,Complete,102.15,70.0
AH100037,Punjab,Bathinda,Highway,18.7,8.0,Award,,0.0,39.9,3.0,23.0,88,2026-01-14,2024-11-22,2024-12-26,1357.0,District Administration,Completed,Not Required,No,28.0,None,Complete,Pending,81.4,7.0
AH100038,Uttar Pradesh,Prayagraj,Highway,5.18,2.0,Award,2.0,1.0,36.1,0.0,33.0,66,2024-09-06,2025-07-13,2025-11-27,4992.0,District Administration,Completed,Not Required,Yes,4.0,None,Pending,Partial,126.07,7.0
AH100039,Uttarakhand,Dehradun,Bypass,4.77,6.0,Compensation,0.0,0.0,74.2,1.0,152.0,116,2025-07-22,2024-01-18,2024-04-09,1943.0,District Administration,Completed,Pending,No,12.0,High,Complete,Complete,42.03,124.0
AH100040,Uttar Pradesh,Agra,Highway,8.06,6.0,Compensation,0.0,0.0,96.0,1.0,53.0,66,2024-05-28,2026-03-07,2026-08-24,3368.0,District Administration,,Completed,No,4.0,High,Pending,Partial,102.76,137.0
AH100041,Punjab,Patiala,Bypass,16.0,8.0,Compensation,1.0,1.0,69.6,2.0,73.0,120,2025-11-13,2024-02-23,2024-07-30,841.0,District Administration,Not Required,Completed,Yes,12.0,None,Pending,Pending,59.39,107.0
AH100042,Uttarakhand,Nainital,Highway,28.83,12.0,Notification,0.0,0.0,9.1,3.0,38.0,63,2025-09-22,2025-05-02,2025-06-16,4955.0,District Administration,Completed,Completed,Yes,24.0,None,Partial,Complete,73.62,79.0
AH100043,Madhya Pradesh,Bhopal,Road Widening,14.55,8.0,Objection,,0.0,26.1,2.0,127.0,145,2024-11-15,2024-11-12,2025-04-26,4935.0,NHAI,Pending,Pending,No,17.0,Low,Partial,Complete,169.97,70.0
AH100044,Rajasthan,Jaipur,Road Widening,96.83,38.0,Notification,0.0,0.0,8.0,4.0,38.0,124,2024-03-02,2024-02-02,2024-07-23,392.0,District Administration,Completed,Completed,No,22.0,None,Pending,Partial,82.54,11.0
AH100045,Himachal Pradesh,Kangra,Bypass,6.72,7.0,Possession,0.0,0.0,96.8,1.0,,54,2026-05-23,2025-02-19,2025-07-12,3233.0,NHAI,Not Required,Not Required,No,27.0,Low,Complete,Complete,45.85,5.0
AH100046,Haryana,Sirsa,Highway,22.41,8.0,Notification,1.0,0.0,16.5,0.0,,37,2025-02-05,2026-04-22,2026-07-02,2993.0,NHAI,Not Required,Completed,No,29.0,None,Pending,Partial,24.59,100.0
AH100047,Himachal Pradesh,Mandi,Highway,4.65,5.0,Possession,1.0,0.0,88.8,0.0,87.0,68,2026-03-14,2024-05-30,2024-10-07,909.0,Special LA Unit,Not Required,Completed,No,2.0,None,Partial,Complete,136.78,132.0
AH100048,Uttarakhand,Udham Singh Nagar,Road Widening,46.96,18.0,Notification,2.0,0.0,16.8,1.0,29.0,84,2025-09-02,2024-09-20,2025-02-27,3858.0,NHAI,Completed,Completed,No,9.0,None,Complete,Complete,161.51,58.0
AH100049,Punjab,Jalandhar,Bridge,37.92,12.0,Possession,0.0,0.0,88.3,0.0,47.0,45,2025-12-01,2024-06-19,2024-11-18,3834.0,NHAI,Completed,Completed,No,30.0,None,Complete,Pending,80.06,6.0
AH100050,Punjab,Patiala,Bypass,21.86,11.0,Compensation,1.0,0.0,67.0,1.0,64.0,100,2025-11-14,2024-04-22,2024-07-25,4228.0,State PWD,Completed,Completed,No,12.0,Medium,Partial,Partial,113.87,149.0
AH100051,Uttar Pradesh,Varanasi,Bypass,2.73,5.0,Compensation,0.0,0.0,80.3,1.0,105.0,110,2024-06-24,2024-07-26,2024-12-09,3029.0,Special LA Unit,Completed,Not Required,No,23.0,None,Complete,Complete,163.55,130.0
AH100052,Madhya Pradesh,Ujjain,Road Widening,21.69,11.0,Compensation,1.0,0.0,62.4,0.0,84.0,117,2024-11-23,2025-05-29,2025-08-24,3550.0,Special LA Unit,Pending,Completed,No,15.0,None,Partial,Pending,43.2,41.0
AH100053,Haryana,Rohtak,Road Widening,5.95,3.0,Compensation,1.0,0.0,79.7,1.0,130.0,127,2025-02-24,2025-12-03,2026-02-09,3626.0,District Administration,Not Required,Not Required,No,14.0,Low,Complete,Complete,50.53,118.0
AH100054,Haryana,Rohtak,Bypass,17.56,8.0,Compensation,1.0,1.0,56.9,0.0,210.0,188,2025-03-24,2025-09-13,2026-01-21,3848.0,NHAI,Pending,Not Required,Yes,9.0,None,Complete,Complete,40.16,95.0
AH100055,Rajasthan,Ajmer,Bypass,3.47,4.0,Objection,1.0,0.0,15.1,2.0,42.0,90,2024-02-09,2025-11-25,2026-03-04,2943.0,District Administration,Completed,Completed,No,18.0,None,Partial,Pending,166.68,51.0
AH100056,Haryana,Rohtak,Bypass,15.02,8.0,Possession,0.0,0.0,81.0,1.0,79.0,55,2025-05-06,2025-10-06,2025-12-08,3736.0,Special LA Unit,Completed,Completed,No,1.0,None,Partial,Complete,43.02,116.0
AH100057,Uttar Pradesh,Kanpur Nagar,Bypass,8.84,7.0,Compensation,1.0,3.0,85.5,2.0,58.0,124,2024-05-18,2024-12-10,2025-04-18,349.0,State PWD,Pending,Pending,No,29.0,Low,Complete,Complete,147.31,33.0
AH100058,Punjab,Firozpur,Bypass,6.16,5.0,Objection,2.0,1.0,12.9,4.0,79.0,134,2025-10-31,2026-03-21,2026-06-07,3107.0,State PWD,Completed,Not Required,No,24.0,Medium,Complete,Pending,114.92,147.0
AH100059,Uttarakhand,Dehradun,Highway,19.76,7.0,Objection,6.0,0.0,18.4,3.0,109.0,181,2025-09-06,2024-06-04,2024-09-30,1056.0,Special LA Unit,Completed,Not Required,No,6.0,None,Complete,Pending,12.51,98.0
AH100060,Himachal Pradesh,Sirmaur,Highway,11.43,5.0,Award,2.0,0.0,46.4,3.0,120.0,132,2026-04-10,2025-09-21,2025-12-14,2064.0,NHAI,Completed,Completed,No,18.0,None,Complete,Complete,161.5,142.0
AH100061,Punjab,Patiala,Bridge,10.03,,Possession,2.0,2.0,85.4,1.0,52.0,86,2025-11-01,2024-04-09,2024-09-18,3855.0,Special LA Unit,Not Required,Completed,No,29.0,None,Partial,Partial,69.51,55.0
AH100062,Madhya Pradesh,Jabalpur,Road Widening,22.35,10.0,Compensation,1.0,0.0,55.0,1.0,85.0,94,2024-11-25,2025-11-20,2026-04-26,613.0,State PWD,Completed,Pending,No,2.0,None,Complete,Complete,80.97,65.0
AH100063,Himachal Pradesh,,Highway,60.24,20.0,Objection,1.0,0.0,26.9,4.0,32.0,120,2026-05-20,2024-03-19,2024-06-28,3784.0,District Administration,Not Required,Completed,No,5.0,Medium,Partial,Partial,105.03,144.0
AH100064,Madhya Pradesh,Bhopal,Road Widening,15.09,10.0,Compensation,1.0,0.0,60.4,1.0,65.0,87,2025-01-04,2024-07-13,2024-11-26,1334.0,State PWD,Completed,Completed,Yes,15.0,Low,Complete,Complete,107.9,143.0
AH100065,Madhya Pradesh,Bhopal,Road Widening,2.57,1.0,Notification,1.0,0.0,12.1,2.0,34.0,70,2024-10-20,2024-12-18,2025-02-12,3781.0,District Administration,Pending,Pending,No,29.0,High,Partial,Complete,161.16,42.0
AH100066,Himachal Pradesh,Sirmaur,Bypass,3.18,1.0,Objection,1.0,0.0,18.7,2.0,76.0,117,2026-03-25,2025-09-17,2026-03-15,3844.0,Special LA Unit,Not Required,Not Required,No,2.0,None,Pending,Complete,110.29,20.0
AH100067,Madhya Pradesh,Indore,Bypass,12.66,6.0,Compensation,0.0,0.0,78.0,1.0,121.0,89,2024-11-29,2024-02-10,2024-04-12,125.0,State PWD,Not Required,Not Required,Yes,0.0,Medium,Partial,Complete,146.73,171.0
AH100068,Rajasthan,Jodhpur,Highway,28.57,9.0,Notification,0.0,0.0,17.6,2.0,82.0,106,2024-03-09,2024-08-19,2025-01-26,1207.0,NHAI,Completed,Pending,No,12.0,Medium,Pending,Pending,67.59,85.0
AH100069,Haryana,Hisar,Highway,13.39,5.0,Award,0.0,0.0,48.3,0.0,18.0,32,2025-02-26,2024-10-27,2025-04-01,4035.0,NHAI,Completed,Not Required,No,21.0,High,Complete,Partial,172.3,17.0
AH100070,Punjab,Amritsar,Highway,18.45,8.0,Notification,,0.0,4.3,0.0,38.0,58,2025-12-17,2025-10-19,2025-12-14,1743.0,Special LA Unit,Completed,Completed,No,20.0,None,Partial,Complete,163.15,99.0
AH100071,Uttar Pradesh,Agra,Bypass,11.36,8.0,Notification,0.0,0.0,15.9,1.0,63.0,95,2024-06-19,2026-05-15,2026-06-15,2223.0,Special LA Unit,,Completed,No,0.0,High,Pending,Complete,44.34,45.0
AH100072,Haryana,Ambala,Highway,27.05,11.0,Notification,1.0,0.0,7.6,2.0,24.0,78,2025-02-20,2025-07-06,2025-11-23,127.0,District Administration,Completed,Completed,No,13.0,Low,Pending,Pending,121.71,96.0
AH100073,Rajasthan,Kota,Road Widening,20.17,8.0,Notification,0.0,0.0,8.1,2.0,28.0,67,2024-04-26,2025-04-01,2025-09-08,3483.0,NHAI,Pending,Pending,No,14.0,Medium,Complete,Partial,15.53,88.0
AH100074,Uttarakhand,Udham Singh Nagar,Road Widening,5.02,1.0,Award,1.0,1.0,54.3,2.0,95.0,112,2025-09-09,2024-10-29,2025-03-15,511.0,Special LA Unit,Completed,Not Required,No,15.0,None,Partial,Complete,74.34,118.0
AH100075,Haryana,Rohtak,Road Widening,17.47,11.0,Possession,0.0,0.0,93.9,0.0,102.0,82,2025-03-04,2026-01-10,2026-02-17,1396.0,State PWD,Not Required,Not Required,No,0.0,None,Complete,Complete,104.68,84.0
AH100076,Madhya Pradesh,Indore,Road Widening,3.22,2.0,Notification,0.0,0.0,16.1,1.0,25.0,36,2024-10-24,2024-04-06,2024-08-10,2410.0,NHAI,Not Required,Pending,No,13.0,High,Complete,Complete,96.18,29.0
AH100077,Uttar Pradesh,Lucknow,Railway,17.48,8.0,Possession,0.0,0.0,91.7,0.0,89.0,65,2024-07-23,2024-04-26,2024-07-23,3859.0,State PWD,Pending,Completed,Yes,1.0,Medium,Partial,Complete,45.2,160.0
AH100078,Haryana,Panipat,Road Widening,9.39,2.0,Compensation,0.0,0.0,78.7,2.0,62.0,63,2025-05-23,2024-06-30,2024-12-14,2516.0,Special LA Unit,Pending,Completed,No,14.0,Medium,Pending,Partial,58.73,139.0
AH100079,Uttarakhand,Udham Singh Nagar,Highway,13.69,,Notification,0.0,0.0,6.0,1.0,24.0,60,2025-08-25,2024-08-29,2025-01-26,4912.0,Special LA Unit,Completed,Pending,No,24.0,None,Pending,Partial,32.43,4.0
AH100080,Himachal Pradesh,Kangra,Highway,15.73,6.0,Objection,3.0,0.0,28.9,3.0,23.0,114,2026-04-26,2025-02-19,2025-07-18,2635.0,District Administration,Completed,Pending,No,1.0,None,Complete,Complete,171.06,169.0
AH100081,Haryana,Sirsa,Road Widening,15.17,9.0,Objection,2.0,0.0,28.4,1.0,58.0,77,2025-01-28,2026-05-01,2026-07-31,1305.0,District Administration,Completed,Pending,Yes,28.0,None,Complete,Pending,162.6,143.0
AH100082,Uttar Pradesh,Prayagraj,,39.84,16.0,Compensation,1.0,0.0,68.5,0.0,163.0,142,2024-05-24,2025-08-08,2025-10-25,994.0,Special LA Unit,Not Required,Completed,No,17.0,None,Partial,Complete,156.54,125.0
AH100083,Punjab,Ludhiana,Railway,12.29,6.0,Compensation,0.0,0.0,84.9,1.0,94.0,78,2026-01-19,2024-12-11,2025-05-13,3931.0,District Administration,Completed,Completed,No,22.0,None,Complete,Complete,59.3,28.0
AH100084,Uttarakhand,Dehradun,Highway,14.02,4.0,Objection,1.0,0.0,8.7,0.0,38.0,66,2025-07-20,2024-07-09,2024-08-25,2324.0,State PWD,Completed,Completed,No,14.0,None,Partial,Complete,133.79,96.0
AH100085,Uttarakhand,Nainital,Bypass,36.98,14.0,Notification,0.0,0.0,7.9,0.0,39.0,60,2025-09-22,2025-08-06,2025-09-20,3044.0,NHAI,Pending,Pending,Yes,26.0,None,Complete,Complete,149.65,41.0
AH100086,Rajasthan,Jodhpur,Highway,59.88,22.0,Notification,1.0,0.0,6.4,2.0,34.0,107,2024-03-28,2024-08-15,2024-09-23,1882.0,NHAI,Completed,Completed,Yes,8.0,None,Complete,Complete,6.97,123.0
AH100087,Madhya Pradesh,Gwalior,Railway,11.76,6.0,Compensation,2.0,1.0,73.9,1.0,141.0,161,2024-10-08,2026-05-28,2026-09-11,1401.0,NHAI,Not Required,Not Required,No,4.0,None,Complete,Complete,104.33,13.0
AH100088,Punjab,Ludhiana,Highway,7.73,1.0,Notification,0.0,0.0,9.8,1.0,18.0,46,2025-11-22,2025-03-05,2025-04-15,3019.0,Special LA Unit,Not Required,Not Required,No,14.0,None,Complete,Complete,103.83,139.0
AH100089,Punjab,Hoshiarpur,Road Widening,8.06,2.0,Award,0.0,0.0,58.4,1.0,47.0,51,2026-01-19,2025-05-10,2025-09-04,1507.0,NHAI,Completed,Not Required,No,18.0,None,Partial,Complete,5.85,119.0
AH100090,Haryana,Sirsa,Highway,17.52,7.0,Compensation,1.0,1.0,83.8,0.0,27.0,67,2025-01-26,2026-03-24,2026-05-18,4999.0,NHAI,Pending,Completed,Yes,26.0,None,Partial,Complete,55.51,162.0
AH100091,Punjab,Bathinda,Road Widening,10.05,6.0,Compensation,1.0,0.0,76.6,0.0,42.0,40,2025-12-25,2024-10-01,2025-03-13,3671.0,Special LA Unit,Completed,Completed,No,15.0,Low,Complete,Complete,150.02,75.0
AH100092,Punjab,Ludhiana,Highway,2.7,1.0,Notification,1.0,0.0,7.9,2.0,42.0,59,2026-01-27,2025-02-28,2025-06-02,4106.0,State PWD,Completed,Completed,No,2.0,None,Complete,Partial,169.27,46.0
AH100093,Madhya Pradesh,Ujjain,Railway,31.02,15.0,Award,0.0,0.0,49.5,5.0,121.0,158,2024-12-14,2025-04-23,2025-06-06,1457.0,NHAI,Not Required,Completed,Yes,26.0,Medium,Partial,Complete,44.32,47.0
AH100094,Himachal Pradesh,Shimla,Road Widening,23.88,12.0,Award,1.0,0.0,63.6,2.0,105.0,149,2026-03-19,2024-08-31,2025-01-12,194.0,Special LA Unit,Completed,Completed,No,25.0,None,Complete,Partial,164.64,135.0
AH100095,Madhya Pradesh,Indore,Bridge,31.65,11.0,Compensation,3.0,0.0,67.7,0.0,40.0,89,2024-09-16,2024-02-19,2024-05-09,286.0,Special LA Unit,Not Required,Completed,No,17.0,None,Partial,Complete,167.83,151.0
AH100096,Uttar Pradesh,Varanasi,Railway,37.43,19.0,Award,0.0,1.0,38.2,1.0,61.0,120,2024-08-03,2024-09-12,2024-11-20,4301.0,District Administration,,Not Required,No,1.0,Medium,Complete,Complete,80.69,129.0
AH100097,Uttarakhand,Dehradun,Road Widening,14.04,7.0,Award,0.0,0.0,58.5,0.0,54.0,64,2025-09-06,2024-04-11,2024-08-17,4376.0,NHAI,Pending,Not Required,No,28.0,Low,Partial,Complete,12.94,171.0
AH100098,Uttarakhand,Nainital,Bypass,14.9,6.0,Notification,1.0,0.0,10.2,4.0,98.0,146,2025-07-27,2025-08-31,2026-02-20,3413.0,District Administration,Completed,Not Required,Yes,20.0,Low,Pending,Complete,93.86,15.0
AH100099,Rajasthan,Jaipur,Highway,28.1,12.0,Compensation,0.0,0.0,93.8,0.0,39.0,73,2024-05-05,2024-01-07,2024-07-01,2965.0,Special LA Unit,Completed,Completed,No,28.0,Medium,Partial,Partial,74.92,95.0
AH100100,Punjab,Bathinda,Road Widening,4.25,3.0,Compensation,0.0,0.0,64.5,0.0,69.0,60,2026-01-19,2024-10-11,2025-01-14,1085.0,Special LA Unit,Completed,Pending,No,3.0,High,Pending,Complete,116.9,176.0
AH100101,Uttar Pradesh,Agra,Highway,8.85,5.0,Compensation,1.0,0.0,78.8,0.0,140.0,132,2024-06-28,2026-03-06,2026-08-10,3804.0,District Administration,Completed,Completed,No,10.0,None,Complete,Complete,13.84,145.0
AH100102,Punjab,Hoshiarpur,Railway,11.35,3.0,Compensation,0.0,0.0,76.9,0.0,97.0,68,2025-12-25,2025-05-26,2025-07-26,2605.0,Special LA Unit,Completed,Pending,No,7.0,High,Pending,Complete,60.35,13.0
AH100103,Rajasthan,Ajmer,Highway,26.14,10.0,Possession,0.0,0.0,98.7,0.0,43.0,61,2024-01-07,2025-08-27,2026-01-30,3035.0,Special LA Unit,Completed,Pending,No,23.0,High,Complete,Complete,14.5,14.0
AH100104,Punjab,Amritsar,,7.55,5.0,Possession,0.0,0.0,90.4,0.0,76.0,55,2025-12-18,2025-08-24,2026-02-11,168.0,NHAI,Pending,Completed,No,9.0,None,Complete,Complete,6.11,95.0
AH100105,Punjab,Bathinda,Road Widening,6.52,5.0,Objection,1.0,0.0,22.7,2.0,50.0,80,2025-12-09,2024-09-25,2025-01-10,2606.0,District Administration,Completed,Completed,Yes,27.0,None,Complete,Partial,63.53,124.0
AH100106,Punjab,Amritsar,Highway,8.28,7.0,Objection,1.0,0.0,,0.0,76.0,90,2025-12-03,2025-07-23,2025-11-08,3483.0,District Administration,Completed,Completed,Yes,12.0,Low,Complete,Complete,93.95,142.0
AH100107,Uttarakhand,Dehradun,Highway,17.8,7.0,Possession,3.0,0.0,91.8,1.0,16.0,54,2025-08-21,2024-07-18,2024-11-09,3861.0,Special LA Unit,Pending,Completed,No,11.0,Medium,Partial,Pending,161.32,83.0
AH100108,Haryana,Ambala,Highway,11.27,5.0,Compensation,3.0,2.0,72.3,2.0,81.0,117,2025-02-28,2025-07-25,2025-09-03,770.0,District Administration,,Completed,Yes,19.0,None,Partial,Complete,14.33,151.0
AH100109,Uttarakhand,Nainital,Bypass,3.48,1.0,Possession,1.0,0.0,93.2,1.0,32.0,12,2025-09-26,2025-09-06,2026-02-11,209.0,District Administration,Completed,Completed,No,24.0,None,Complete,Pending,98.94,133.0
AH100110,Uttar Pradesh,Agra,Highway,4.11,5.0,Award,0.0,0.0,32.8,2.0,20.0,65,2024-09-06,2026-02-27,2026-07-17,4285.0,District Administration,Completed,Not Required,Yes,12.0,None,Pending,Pending,166.97,104.0
AH100111,Punjab,Firozpur,Highway,13.41,5.0,Possession,0.0,0.0,97.1,0.0,19.0,36,2025-12-03,2026-04-07,2026-09-14,1593.0,State PWD,Completed,Completed,No,0.0,Low,Partial,Pending,174.95,24.0
