state,district,project_type,land_area_acres,number_of_landowners,acquisition_stage,number_of_objections,number_of_court_cases,compensation_completed_pct,pending_approvals,days_in_current_stage,approximate_delay_days,sanction_amount_lakh,land_acquisition_agency,environmental_clearance,forest_clearance,relocation_required,structures_affected,dispute_severity,payment_status,document_verification_status,project_length_km,last_review_days_ago
Haryana,Ambala,Highway,8.3,6.0,Compensation,2.0,0.0,74.6,0.0,110.0,96,2868.0,District Administration,Not Required,Pending,No,17.0,None,Partial,Partial,57.72,44.0
Himachal Pradesh,Sirmaur,Highway,16.13,5.0,Award,2.0,1.0,65.0,1.0,64.0,93,3790.0,State PWD,Completed,Completed,Yes,8.0,None,Partial,Complete,108.96,53.0
Punjab,Bathinda,Bypass,44.23,17.0,Compensation,1.0,0.0,68.3,1.0,67.0,111,1549.0,Special LA Unit,Not Required,Completed,No,26.0,Low,Partial,Complete,37.07,174.0
Punjab,Firozpur,Railway,10.51,7.0,Notification,0.0,0.0,16.2,3.0,11.0,63,2467.0,NHAI,Completed,Not Required,No,6.0,None,Complete,Partial,43.65,24.0
Punjab,Amritsar,Highway,6.01,5.0,Compensation,2.0,3.0,75.8,0.0,116.0,120,968.0,State PWD,Not Required,Not Required,No,29.0,Low,Partial,Complete,119.98,37.0
Punjab,Moga,Bypass,27.22,12.0,Compensation,1.0,0.0,72.0,0.0,,70,4058.0,District Administration,Pending,Not Required,No,3.0,Low,Partial,Complete,109.26,32.0
Haryana,Rohtak,Highway,2.18,2.0,Objection,1.0,0.0,41.6,1.0,22.0,82,4373.0,District Administration,Not Required,Pending,Yes,0.0,Low,Complete,Partial,142.85,113.0
Rajasthan,Kota,Bypass,28.98,11.0,Notification,1.0,0.0,11.6,1.0,13.0,71,3711.0,State PWD,Completed,Pending,No,13.0,None,Complete,Partial,57.54,70.0
Punjab,Patiala,Highway,3.53,2.0,Award,0.0,0.0,43.7,3.0,90.0,106,4086.0,Special LA Unit,Pending,Completed,No,12.0,None,Complete,Complete,38.32,142.0
Haryana,Ambala,Highway,20.88,6.0,Award,0.0,0.0,41.5,1.0,77.0,63,3832.0,Special LA Unit,Completed,Pending,Yes,16.0,None,Partial,Partial,32.23,4.0
Haryana,Karnal,Bypass,7.97,5.0,Compensation,0.0,1.0,53.0,1.0,124.0,124,4186.0,District Administration,Completed,Completed,No,15.0,None,Partial,Complete,176.34,128.0
Madhya Pradesh,Jabalpur,Bridge,15.69,9.0,Objection,4.0,0.0,22.9,1.0,25.0,96,2175.0,District Administration,Pending,Completed,No,8.0,High,Partial,Complete,139.14,155.0
Uttar Pradesh,Meerut,Railway,70.15,27.0,Objection,1.0,0.0,27.3,0.0,101.0,115,1067.0,District Administration,Completed,Pending,No,10.0,High,Partial,Complete,137.49,129.0
Himachal Pradesh,Kangra,Road Widening,5.86,3.0,Possession,1.0,0.0,91.6,0.0,113.0,70,4807.0,State PWD,Pending,Completed,No,11.0,None,Complete,Partial,152.18,121.0
Punjab,,Bypass,5.1,4.0,Notification,0.0,0.0,15.8,1.0,51.0,62,61.0,District Administration,Completed,Pending,No,30.0,Low,Complete,Partial,40.87,164.0
Uttarakhand,Dehradun,Railway,12.76,2.0,Possession,0.0,0.0,94.4,0.0,76.0,56,2056.0,Special LA Unit,Completed,Not Required,No,29.0,None,Pending,Complete,145.9,67.0
Madhya Pradesh,Jabalpur,Highway,43.66,16.0,Compensation,1.0,0.0,89.2,1.0,114.0,129,3645.0,NHAI,Pending,Not Required,No,17.0,Low,Complete,Complete,147.24,56.0
Punjab,Amritsar,Highway,13.91,6.0,Compensation,0.0,0.0,81.9,0.0,150.0,99,3976.0,NHAI,Completed,Completed,Yes,7.0,None,Complete,Pending,161.12,64.0
Haryana,Hisar,Road Widening,12.4,3.0,Objection,1.0,0.0,12.7,3.0,26.0,83,3443.0,State PWD,Pending,Completed,No,16.0,None,Complete,Pending,34.18,51.0
Haryana,Rohtak,Road Widening,13.79,6.0,Possession,0.0,1.0,91.6,1.0,24.0,28,2473.0,District Administration,Not Required,Pending,Yes,12.0,None,Partial,Complete,57.0,77.0
Haryana,Rohtak,Bypass,5.08,1.0,Possession,0.0,0.0,97.9,0.0,71.0,39,4616.0,NHAI,Completed,Completed,No,0.0,None,Pending,Pending,63.38,6.0
Uttar Pradesh,Prayagraj,Highway,13.91,7.0,Compensation,2.0,0.0,84.5,2.0,162.0,161,1213.0,District Administration,Completed,Completed,No,11.0,None,Complete,Partial,128.77,90.0
Rajasthan,Jaipur,Highway,8.55,5.0,Compensation,0.0,0.0,80.6,0.0,70.0,88,753.0,NHAI,Completed,Not Required,No,10.0,None,Partial,Pending,47.28,115.0
Haryana,Sirsa,Highway,36.75,14.0,Award,0.0,0.0,23.9,5.0,32.0,118,,NHAI,Completed,Completed,No,17.0,None,Pending,Complete,15.16,68.0
Himachal Pradesh,Kangra,Bypass,23.53,11.0,Notification,1.0,0.0,20.5,5.0,28.0,105,1636.0,State PWD,Pending,Completed,Yes,24.0,None,Partial,Pending,27.54,83.0
Rajasthan,Ajmer,Highway,3.88,3.0,Possession,0.0,0.0,98.1,0.0,111.0,65,2372.0,NHAI,Not Required,Completed,No,25.0,None,Complete,Complete,98.82,177.0
Himachal Pradesh,Solan,Bypass,9.39,5.0,Notification,1.0,0.0,9.8,1.0,28.0,74,2311.0,District Administration,Completed,Not Required,No,30.0,None,Pending,Complete,102.15,70.0
Punjab,Bathinda,Highway,18.7,8.0,Award,,0.0,39.9,3.0,23.0,88,1357.0,District Administration,Completed,Not Required,No,28.0,None,Complete,Pending,81.4,7.0
Uttar Pradesh,Prayagraj,Highway,5.18,2.0,Award,2.0,1.0,36.1,0.0,33.0,66,4992.0,District Administration,Completed,Not Required,Yes,4.0,None,Pending,Partial,126.07,7.0
Uttarakhand,Dehradun,Bypass,4.77,6.0,Compensation,0.0,0.0,74.2,1.0,152.0,116,1943.0,District Administration,Completed,Pending,No,12.0,High,Complete,Complete,42.03,124.0
Uttar Pradesh,Agra,Highway,8.06,6.0,Compensation,0.0,0.0,96.0,1.0,53.0,66,3368.0,District Administration,,Completed,No,4.0,High,Pending,Partial,102.76,137.0
Punjab,Patiala,Bypass,16.0,8.0,Compensation,1.0,1.0,69.6,2.0,73.0,120,841.0,District Administration,Not Required,Completed,Yes,12.0,None,Pending,Pending,59.39,107.0
Uttarakhand,Nainital,Highway,28.83,12.0,Notification,0.0,0.0,9.1,3.0,38.0,63,4955.0,District Administration,Completed,Completed,Yes,24.0,None,Partial,Complete,73.62,79.0
Madhya Pradesh,Bhopal,Road Widening,14.55,8.0,Objection,,0.0,26.1,2.0,127.0,145,4935.0,NHAI,Pending,Pending,No,17.0,Low,Partial,Complete,169.97,70.0
Rajasthan,Jaipur,Road Widening,96.83,38.0,Notification,0.0,0.0,8.0,4.0,38.0,124,392.0,District Administration,Completed,Completed,No,22.0,None,Pending,Partial,82.54,11.0
Himachal Pradesh,Kangra,Bypass,6.72,7.0,Possession,0.0,0.0,96.8,1.0,,54,3233.0,NHAI,Not Required,Not Required,No,27.0,Low,Complete,Complete,45.85,5.0
Haryana,Sirsa,Highway,22.41,8.0,Notification,1.0,0.0,16.5,0.0,,37,2993.0,NHAI,Not Required,Completed,No,29.0,None,Pending,Partial,24.59,100.0
Himachal Pradesh,Mandi,Highway,4.65,5.0,Possession,1.0,0.0,88.8,0.0,87.0,68,909.0,Special LA Unit,Not Required,Completed,No,2.0,None,Partial,Complete,136.78,132.0
Uttarakhand,Udham Singh Nagar,Road Widening,46.96,18.0,Notification,2.0,0.0,16.8,1.0,29.0,84,3858.0,NHAI,Completed,Completed,No,9.0,None,Complete,Complete,161.51,58.0
Punjab,Jalandhar,Bridge,37.92,12.0,Possession,0.0,0.0,88.3,0.0,47.0,45,3834.0,NHAI,Completed,Completed,No,30.0,None,Complete,Pending,80.06,6.0
Punjab,Patiala,Bypass,21.86,11.0,Compensation,1.0,0.0,67.0,1.0,64.0,100,4228.0,State PWD,Completed,Completed,No,12.0,Medium,Partial,Partial,113.87,149.0
Uttar Pradesh,Varanasi,Bypass,2.73,5.0,Compensation,0.0,0.0,80.3,1.0,105.0,110,3029.0,Special LA Unit,Completed,Not Required,No,23.0,None,Complete,Complete,163.55,130.0
Madhya Pradesh,Ujjain,Road Widening,21.69,11.0,Compensation,1.0,0.0,62.4,0.0,84.0,117,3550.0,Special LA Unit,Pending,Completed,No,15.0,None,Partial,Pending,43.2,41.0
Haryana,Rohtak,Road Widening,5.95,3.0,Compensation,1.0,0.0,79.7,1.0,130.0,127,3626.0,District Administration,Not Required,Not Required,No,14.0,Low,Complete,Complete,50.53,118.0
Haryana,Rohtak,Bypass,17.56,8.0,Compensation,1.0,1.0,56.9,0.0,210.0,188,3848.0,NHAI,Pending,Not Required,Yes,9.0,None,Complete,Complete,40.16,95.0
Rajasthan,Ajmer,Bypass,3.47,4.0,Objection,1.0,0.0,15.1,2.0,42.0,90,2943.0,District Administration,Completed,Completed,No,18.0,None,Partial,Pending,166.68,51.0
Haryana,Rohtak,Bypass,15.02,8.0,Possession,0.0,0.0,81.0,1.0,79.0,55,3736.0,Special LA Unit,Completed,Completed,No,1.0,None,Partial,Complete,43.02,116.0
Uttar Pradesh,Kanpur Nagar,Bypass,8.84,7.0,Compensation,1.0,3.0,85.5,2.0,58.0,124,349.0,State PWD,Pending,Pending,No,29.0,Low,Complete,Complete,147.31,33.0
Punjab,Firozpur,Bypass,6.16,5.0,Objection,2.0,1.0,12.9,4.0,79.0,134,3107.0,State PWD,Completed,Not Required,No,24.0,Medium,Complete,Pending,114.92,147.0
Uttarakhand,Dehradun,Highway,19.76,7.0,Objection,6.0,0.0,18.4,3.0,109.0,181,1056.0,Special LA Unit,Completed,Not Required,No,6.0,None,Complete,Pending,12.51,98.0
Himachal Pradesh,Sirmaur,Highway,11.43,5.0,Award,2.0,0.0,46.4,3.0,120.0,132,2064.0,NHAI,Completed,Completed,No,18.0,None,Complete,Complete,161.5,142.0
Punjab,Patiala,Bridge,10.03,,Possession,2.0,2.0,85.4,1.0,52.0,86,3855.0,Special LA Unit,Not Required,Completed,No,29.0,None,Partial,Partial,69.51,55.0
Madhya Pradesh,Jabalpur,Road Widening,22.35,10.0,Compensation,1.0,0.0,55.0,1.0,85.0,94,613.0,State PWD,Completed,Pending,No,2.0,None,Complete,Complete,80.97,65.0
Himachal Pradesh,,Highway,60.24,20.0,Objection,1.0,0.0,26.9,4.0,32.0,120,3784.0,District Administration,Not Required,Completed,No,5.0,Medium,Partial,Partial,105.03,144.0
Madhya Pradesh,Bhopal,Road Widening,15.09,10.0,Compensation,1.0,0.0,60.4,1.0,65.0,87,1334.0,State PWD,Completed,Completed,Yes,15.0,Low,Complete,Complete,107.9,143.0
Madhya Pradesh,Bhopal,Road Widening,2.57,1.0,Notification,1.0,0.0,12.1,2.0,34.0,70,3781.0,District Administration,Pending,Pending,No,29.0,High,Partial,Complete,161.16,42.0
Himachal Pradesh,Sirmaur,Bypass,3.18,1.0,Objection,1.0,0.0,18.7,2.0,76.0,117,3844.0,Special LA Unit,Not Required,Not Required,No,2.0,None,Pending,Complete,110.29,20.0
Madhya Pradesh,Indore,Bypass,12.66,6.0,Compensation,0.0,0.0,78.0,1.0,121.0,89,125.0,State PWD,Not Required,Not Required,Yes,0.0,Medium,Partial,Complete,146.73,171.0
Rajasthan,Jodhpur,Highway,28.57,9.0,Notification,0.0,0.0,17.6,2.0,82.0,106,1207.0,NHAI,Completed,Pending,No,12.0,Medium,Pending,Pending,67.59,85.0
Haryana,Hisar,Highway,13.39,5.0,Award,0.0,0.0,48.3,0.0,18.0,32,4035.0,NHAI,Completed,Not Required,No,21.0,High,Complete,Partial,172.3,17.0
Punjab,Amritsar,Highway,18.45,8.0,Notification,,0.0,4.3,0.0,38.0,58,1743.0,Special LA Unit,Completed,Completed,No,20.0,None,Partial,Complete,163.15,99.0
Uttar Pradesh,Agra,Bypass,11.36,8.0,Notification,0.0,0.0,15.9,1.0,63.0,95,2223.0,Special LA Unit,,Completed,No,0.0,High,Pending,Complete,44.34,45.0
Haryana,Ambala,Highway,27.05,11.0,Notification,1.0,0.0,7.6,2.0,24.0,78,127.0,District Administration,Completed,Completed,No,13.0,Low,Pending,Pending,121.71,96.0
Rajasthan,Kota,Road Widening,20.17,8.0,Notification,0.0,0.0,8.1,2.0,28.0,67,3483.0,NHAI,Pending,Pending,No,14.0,Medium,Complete,Partial,15.53,88.0
Uttarakhand,Udham Singh Nagar,Road Widening,5.02,1.0,Award,1.0,1.0,54.3,2.0,95.0,112,511.0,Special LA Unit,Completed,Not Required,No,15.0,None,Partial,Complete,74.34,118.0
Haryana,Rohtak,Road Widening,17.47,11.0,Possession,0.0,0.0,93.9,0.0,102.0,82,1396.0,State PWD,Not Required,Not Required,No,0.0,None,Complete,Complete,104.68,84.0
Madhya Pradesh,Indore,Road Widening,3.22,2.0,Notification,0.0,0.0,16.1,1.0,25.0,36,2410.0,NHAI,Not Required,Pending,No,13.0,High,Complete,Complete,96.18,29.0
Uttar Pradesh,Lucknow,Railway,17.48,8.0,Possession,0.0,0.0,91.7,0.0,89.0,65,3859.0,State PWD,Pending,Completed,Yes,1.0,Medium,Partial,Complete,45.2,160.0
Haryana,Panipat,Road Widening,9.39,2.0,Compensation,0.0,0.0,78.7,2.0,62.0,63,2516.0,Special LA Unit,Pending,Completed,No,14.0,Medium,Pending,Partial,58.73,139.0
Uttarakhand,Udham Singh Nagar,Highway,13.69,,Notification,0.0,0.0,6.0,1.0,24.0,60,4912.0,Special LA Unit,Completed,Pending,No,24.0,None,Pending,Partial,32.43,4.0
Himachal Pradesh,Kangra,Highway,15.73,6.0,Objection,3.0,0.0,28.9,3.0,23.0,114,2635.0,District Administration,Completed,Pending,No,1.0,None,Complete,Complete,171.06,169.0
Haryana,Sirsa,Road Widening,15.17,9.0,Objection,2.0,0.0,28.4,1.0,58.0,77,1305.0,District Administration,Completed,Pending,Yes,28.0,None,Complete,Pending,162.6,143.0
Uttar Pradesh,Prayagraj,,39.84,16.0,Compensation,1.0,0.0,68.5,0.0,163.0,142,994.0,Special LA Unit,Not Required,Completed,No,17.0,None,Partial,Complete,156.54,125.0
Punjab,Ludhiana,Railway,12.29,6.0,Compensation,0.0,0.0,84.9,1.0,94.0,78,3931.0,District Administration,Completed,Completed,No,22.0,None,Complete,Complete,59.3,28.0
Uttarakhand,Dehradun,Highway,14.02,4.0,Objection,1.0,0.0,8.7,0.0,38.0,66,2324.0,State PWD,Completed,Completed,No,14.0,None,Partial,Complete,133.79,96.0
Uttarakhand,Nainital,Bypass,36.98,14.0,Notification,0.0,0.0,7.9,0.0,39.0,60,3044.0,NHAI,Pending,Pending,Yes,26.0,None,Complete,Complete,149.65,41.0
Rajasthan,Jodhpur,Highway,59.88,22.0,Notification,1.0,0.0,6.4,2.0,34.0,107,1882.0,NHAI,Completed,Completed,Yes,8.0,None,Complete,Complete,6.97,123.0
Madhya Pradesh,Gwalior,Railway,11.76,6.0,Compensation,2.0,1.0,73.9,1.0,141.0,161,1401.0,NHAI,Not Required,Not Required,No,4.0,None,Complete,Complete,104.33,13.0
Punjab,Ludhiana,Highway,7.73,1.0,Notification,0.0,0.0,9.8,1.0,18.0,46,3019.0,Special LA Unit,Not Required,Not Required,No,14.0,None,Complete,Complete,103.83,139.0
Punjab,Hoshiarpur,Road Widening,8.06,2.0,Award,0.0,0.0,58.4,1.0,47.0,51,1507.0,NHAI,Completed,Not Required,No,18.0,None,Partial,Complete,5.85,119.0
Haryana,Sirsa,Highway,17.52,7.0,Compensation,1.0,1.0,83.8,0.0,27.0,67,4999.0,NHAI,Pending,Completed,Yes,26.0,None,Partial,Complete,55.51,162.0
Punjab,Bathinda,Road Widening,10.05,6.0,Compensation,1.0,0.0,76.6,0.0,42.0,40,3671.0,Special LA Unit,Completed,Completed,No,15.0,Low,Complete,Complete,150.02,75.0
Punjab,Ludhiana,Highway,2.7,1.0,Notification,1.0,0.0,7.9,2.0,42.0,59,4106.0,State PWD,Completed,Completed,No,2.0,None,Complete,Partial,169.27,46.0
Madhya Pradesh,Ujjain,Railway,31.02,15.0,Award,0.0,0.0,49.5,5.0,121.0,158,1457.0,NHAI,Not Required,Completed,Yes,26.0,Medium,Partial,Complete,44.32,47.0
Himachal Pradesh,Shimla,Road Widening,23.88,12.0,Award,1.0,0.0,63.6,2.0,105.0,149,194.0,Special LA Unit,Completed,Completed,No,25.0,None,Complete,Partial,164.64,135.0
Madhya Pradesh,Indore,Bridge,31.65,11.0,Compensation,3.0,0.0,67.7,0.0,40.0,89,286.0,Special LA Unit,Not Required,Completed,No,17.0,None,Partial,Complete,167.83,151.0
Uttar Pradesh,Varanasi,Railway,37.43,19.0,Award,0.0,1.0,38.2,1.0,61.0,120,4301.0,District Administration,,Not Required,No,1.0,Medium,Complete,Complete,80.69,129.0
Uttarakhand,Dehradun,Road Widening,14.04,7.0,Award,0.0,0.0,58.5,0.0,54.0,64,4376.0,NHAI,Pending,Not Required,No,28.0,Low,Partial,Complete,12.94,171.0
Uttarakhand,Nainital,Bypass,14.9,6.0,Notification,1.0,0.0,10.2,4.0,98.0,146,3413.0,District Administration,Completed,Not Required,Yes,20.0,Low,Pending,Complete,93.86,15.0
Rajasthan,Jaipur,Highway,28.1,12.0,Compensation,0.0,0.0,93.8,0.0,39.0,73,2965.0,Special LA Unit,Completed,Completed,No,28.0,Medium,Partial,Partial,74.92,95.0
Punjab,Bathinda,Road Widening,4.25,3.0,Compensation,0.0,0.0,64.5,0.0,69.0,60,1085.0,Special LA Unit,Completed,Pending,No,3.0,High,Pending,Complete,116.9,176.0
Uttar Pradesh,Agra,Highway,8.85,5.0,Compensation,1.0,0.0,78.8,0.0,140.0,132,3804.0,District Administration,Completed,Completed,No,10.0,None,Complete,Complete,13.84,145.0
Punjab,Hoshiarpur,Railway,11.35,3.0,Compensation,0.0,0.0,76.9,0.0,97.0,68,2605.0,Special LA Unit,Completed,Pending,No,7.0,High,Pending,Complete,60.35,13.0
Rajasthan,Ajmer,Highway,26.14,10.0,Possession,0.0,0.0,98.7,0.0,43.0,61,3035.0,Special LA Unit,Completed,Pending,No,23.0,High,Complete,Complete,14.5,14.0
Punjab,Amritsar,,7.55,5.0,Possession,0.0,0.0,90.4,0.0,76.0,55,168.0,NHAI,Pending,Completed,No,9.0,None,Complete,Complete,6.11,95.0
Punjab,Bathinda,Road Widening,6.52,5.0,Objection,1.0,0.0,22.7,2.0,50.0,80,2606.0,District Administration,Completed,Completed,Yes,27.0,None,Complete,Partial,63.53,124.0
Punjab,Amritsar,Highway,8.28,7.0,Objection,1.0,0.0,,0.0,76.0,90,3483.0,District Administration,Completed,Completed,Yes,12.0,Low,Complete,Complete,93.95,142.0
Uttarakhand,Dehradun,Highway,17.8,7.0,Possession,3.0,0.0,91.8,1.0,16.0,54,3861.0,Special LA Unit,Pending,Completed,No,11.0,Medium,Partial,Pending,161.32,83.0
Haryana,Ambala,Highway,11.27,5.0,Compensation,3.0,2.0,72.3,2.0,81.0,117,770.0,District Administration,,Completed,Yes,19.0,None,Partial,Complete,14.33,151.0
Uttarakhand,Nainital,Bypass,3.48,1.0,Possession,1.0,0.0,93.2,1.0,32.0,12,209.0,District Administration,Completed,Completed,No,24.0,None,Complete,Pending,98.94,133.0
Uttar Pradesh,Agra,Highway,4.11,5.0,Award,0.0,0.0,32.8,2.0,20.0,65,4285.0,District Administration,Completed,Not Required,Yes,12.0,None,Pending,Pending,166.97,104.0
Punjab,Firozpur,Highway,13.41,5.0,Possession,0.0,0.0,97.1,0.0,19.0,36,1593.0,State PWD,Completed,Completed,No,0.0,Low,Partial,Pending,174.95,24.0
Haryana,Karnal,Bridge,13.8,5.0,Notification,1.0,0.0,22.6,1.0,33.0,70,2390.0,State PWD,Completed,Completed,No,28.0,None,Complete,Pending,56.41,37.0
Haryana,Panipat,Bridge,12.22,6.0,Compensation,2.0,0.0,77.9,0.0,48.0,54,3155.0,Special LA Unit,Completed,Not Required,No,13.0,None,Partial,Partial,120.64,166.0
Haryana,Ambala,Highway,8.0,1.0,Award,0.0,0.0,53.6,3.0,29.0,56,2482.0,Special LA Unit,Completed,Not Required,Yes,3.0,High,Partial,Complete,3.32,172.0
Haryana,Panipat,Road Widening,23.32,11.0,Notification,0.0,0.0,7.5,0.0,57.0,66,4722.0,District Administration,Completed,Completed,No,19.0,None,Complete,Complete,147.62,159.0
Rajasthan,Kota,Highway,16.34,7.0,Objection,3.0,0.0,24.2,2.0,71.0,143,4219.0,State PWD,Completed,Not Required,No,22.0,None,Partial,Pending,175.36,39.0
Rajasthan,Alwar,Bridge,15.87,12.0,Notification,1.0,0.0,15.3,1.0,39.0,83,1998.0,NHAI,Pending,Completed,Yes,11.0,Medium,Complete,Complete,88.11,69.0
Uttar Pradesh,Varanasi,Highway,16.36,6.0,Notification,0.0,0.0,21.0,2.0,18.0,66,995.0,State PWD,Pending,Pending,Yes,4.0,Low,Partial,Complete,24.77,145.0
Rajasthan,Alwar,Highway,46.42,17.0,Possession,1.0,1.0,91.7,0.0,93.0,96,4877.0,State PWD,Completed,Not Required,No,27.0,None,Complete,Complete,50.52,21.0
Haryana,Sirsa,Highway,5.0,5.0,Possession,1.0,0.0,89.5,0.0,20.0,16,3555.0,Special LA Unit,Not Required,Completed,No,26.0,High,Complete,Pending,11.12,60.0
Uttarakhand,Haridwar,Road Widening,8.35,6.0,Possession,2.0,1.0,92.6,0.0,29.0,33,3788.0,District Administration,Pending,Completed,No,20.0,None,Partial,Complete,7.91,58.0
Uttarakhand,Dehradun,Highway,8.97,6.0,Possession,0.0,0.0,,0.0,122.0,96,2346.0,State PWD,Pending,Pending,No,8.0,Medium,Complete,Pending,85.82,155.0
Haryana,Panipat,Bypass,34.78,13.0,Compensation,2.0,1.0,91.3,0.0,65.0,109,2450.0,Special LA Unit,Completed,Not Required,No,16.0,None,Complete,Partial,96.84,144.0
Punjab,Patiala,Road Widening,8.69,2.0,Possession,0.0,,88.5,0.0,29.0,20,949.0,State PWD,Completed,Not Required,No,18.0,None,Complete,Complete,49.27,63.0
Haryana,Karnal,Road Widening,6.09,8.0,Objection,1.0,0.0,16.9,0.0,50.0,47,2174.0,Special LA Unit,Completed,Completed,Yes,26.0,None,Pending,Complete,130.31,14.0
Rajasthan,Jaipur,Bypass,10.91,6.0,Objection,1.0,0.0,30.4,2.0,23.0,74,2735.0,District Administration,Completed,Completed,No,27.0,None,Partial,Complete,84.44,159.0
Punjab,Ludhiana,Highway,13.05,6.0,Possession,1.0,0.0,89.7,0.0,55.0,35,690.0,State PWD,Not Required,Pending,No,23.0,None,Partial,Complete,45.16,88.0
Uttarakhand,Dehradun,Highway,33.01,15.0,Award,0.0,1.0,52.5,0.0,65.0,106,3195.0,Special LA Unit,Not Required,Completed,No,20.0,Medium,Partial,Complete,57.2,59.0
Uttarakhand,Udham Singh Nagar,Highway,8.65,2.0,Compensation,0.0,0.0,67.0,0.0,163.0,114,3095.0,District Administration,Completed,Completed,No,7.0,None,Complete,Complete,10.07,12.0
Haryana,Sirsa,Railway,6.66,3.0,Compensation,0.0,1.0,59.5,1.0,74.0,76,4212.0,Special LA Unit,Not Required,Completed,Yes,3.0,Low,Partial,Complete,168.21,129.0
Haryana,Sirsa,Highway,5.51,1.0,Objection,1.0,0.0,15.9,3.0,115.0,137,309.0,NHAI,Pending,Completed,No,24.0,None,Complete,Complete,59.88,144.0
Rajasthan,Alwar,Railway,8.91,5.0,Objection,2.0,0.0,36.5,3.0,38.0,97,1167.0,State PWD,Pending,Completed,No,3.0,None,Partial,Partial,103.78,149.0
Haryana,Karnal,Road Widening,105.54,37.0,Compensation,3.0,1.0,68.3,2.0,21.0,146,2173.0,State PWD,Not Required,Not Required,Yes,15.0,None,Partial,Complete,126.35,9.0
Punjab,Amritsar,Road Widening,16.53,8.0,Award,1.0,0.0,44.0,3.0,,69,4405.0,District Administration,Completed,Completed,No,16.0,High,Pending,Complete,32.79,132.0
Madhya Pradesh,Jabalpur,Road Widening,19.86,10.0,Award,1.0,0.0,41.3,1.0,85.0,105,1226.0,Special LA Unit,Completed,Completed,No,6.0,None,Complete,Complete,109.68,120.0
Uttarakhand,Dehradun,Highway,11.94,8.0,Compensation,1.0,0.0,79.8,2.0,133.0,133,4862.0,NHAI,Not Required,Pending,No,8.0,Low,Pending,Partial,54.79,35.0
Rajasthan,Alwar,Highway,13.42,7.0,Award,0.0,0.0,42.5,2.0,55.0,88,4783.0,NHAI,Completed,Pending,No,30.0,None,Complete,Partial,134.08,59.0
Madhya Pradesh,Ujjain,Railway,23.3,10.0,Award,0.0,0.0,51.3,1.0,55.0,70,519.0,District Administration,Pending,Not Required,No,23.0,None,Complete,Partial,30.83,62.0
Haryana,Sirsa,Highway,19.26,7.0,Compensation,0.0,0.0,87.7,2.0,57.0,76,1848.0,State PWD,Not Required,Not Required,No,12.0,Low,Complete,Complete,81.3,167.0
Himachal Pradesh,Mandi,Road Widening,16.07,8.0,Award,0.0,0.0,51.8,1.0,68.0,89,1331.0,District Administration,Not Required,Completed,No,22.0,None,Pending,Complete,86.73,139.0
Uttar Pradesh,Prayagraj,Bridge,12.11,5.0,Possession,0.0,0.0,91.5,0.0,47.0,27,2471.0,NHAI,Completed,Not Required,Yes,1.0,Medium,Complete,Pending,38.38,52.0
Uttar Pradesh,Lucknow,Highway,8.85,1.0,Award,0.0,1.0,24.9,3.0,19.0,76,4625.0,District Administration,Pending,Not Required,No,5.0,High,Pending,Complete,9.23,65.0
