Case ID,State,District,Project Type,Land Area (Acres),Number of Landowners,Acquisition Stage,Number of Objections,Number of Court Cases,Compensation Completed (%),Pending Approvals,Days in Current Stage,Approximate Delay Days,Notification_3A_Date,Sanction_Date,Notification_3D_Date,Sanction_Amount_Lakh,Land_Acquisition_Agency,Environmental_Clearance,Forest_Clearance,Relocation_Required,Structures_Affected,Dispute_Severity,Payment_Status,Document_Verification_Status,Project_Length_Km,Last_Review_Days_Ago
AH100025,Uttarakhand,Dehradun,Railway,12.76,2.0,Possession,0.0,0.0,94.4,0.0,76.0,56,02-08-2025,23-02-2024,24-07-2024,2056.0,Special LA Unit,Completed,Not Required,No,29,None,Pending,Complete,145.9,67
AH100026,Madhya Pradesh,Jabalpur,Highway,43.66,16.0,Compensation,1.0,0.0,89.2,1.0,114.0,129,28-12-2024,26-08-2025,26-10-2025,3645.0,NHAI,Pending,Not Required,No,17,Low,Complete,Complete,147.24,56
AH100027,Punjab,Amritsar,Highway,13.91,6.0,Compensation,0.0,0.0,81.9,0.0,150.0,99,10-01-2026,20-09-2025,14-02-2026,3976.0,NHAI,Completed,Completed,Yes,7,None,Complete,Pending,161.12,64
AH100028,Haryana,Hisar,Road Widening,12.4,3.0,Objection,1.0,0.0,12.7,3.0,26.0,83,05-05-2025,06-03-2025,19-08-2025,3443.0,State PWD,Pending,Completed,No,16,None,Complete,Pending,34.18,51
AH100029,Haryana,Rohtak,Road Widening,13.79,6.0,Possession,0.0,1.0,91.6,1.0,24.0,28,03-02-2025,06-10-2025,09-01-2026,2473.0,District Administration,Not Required,Pending,Yes,12,None,Partial,Complete,57.0,77
AH100030,Haryana,Rohtak,Bypass,5.08,1.0,Possession,0.0,0.0,97.9,0.0,71.0,39,09-02-2025,02-12-2025,25-05-2026,4616.0,NHAI,Completed,Completed,No,0,None,Pending,Pending,63.38,6
AH100031,Uttar Pradesh,Prayagraj,Highway,13.91,7.0,Compensation,2.0,0.0,84.5,2.0,162.0,161,23-07-2024,06-04-2025,17-09-2025,1213.0,District Administration,Completed,Completed,No,11,None,Complete,Partial,128.77,90
AH100032,Rajasthan,Jaipur,Highway,8.55,5.0,Compensation,0.0,0.0,80.6,0.0,70.0,88,23-03-2024,12-02-2024,10-07-2024,753.0,NHAI,Completed,Not Required,No,10,None,Partial,Pending,47.28,115
AH100033,Haryana,Sirsa,Highway,36.75,14.0,Award,0.0,0.0,23.9,5.0,32.0,118,14-05-2025,22-02-2026,20-05-2026,,NHAI,Completed,Completed,No,17,None,Pending,Complete,15.16,68
AH100034,Himachal Pradesh,Kangra,Bypass,23.53,11.0,Notification,1.0,0.0,20.5,5.0,28.0,105,10-03-2026,24-02-2025,10-05-2025,1636.0,State PWD,Pending,Completed,Yes,24,None,Partial,Pending,27.54,83
AH100035,Rajasthan,Ajmer,Highway,3.88,3.0,Possession,0.0,0.0,98.1,0.0,111.0,65,27-02-2024,28-08-2025,03-02-2026,2372.0,NHAI,Not Required,Completed,No,25,None,Complete,Complete,98.82,177
AH100036,Himachal Pradesh,Solan,Bypass,9.39,5.0,Notification,1.0,0.0,9.8,1.0,28.0,74,11-02-2026,30-03-2026,04-07-2026,2311.0,District Administration,Completed,Not Required,No,30,None,Pending,Complete,102.15,70
AH100037,Punjab,Bathinda,Highway,18.7,8.0,Award,,0.0,39.9,3.0,23.0,88,14-01-2026,22-11-2024,26-12-2024,1357.0,District Administration,Completed,Not Required,No,28,None,Complete,Pending,81.4,7
AH100038,Uttar Pradesh,Prayagraj,Highway,5.18,2.0,Award,2.0,1.0,36.1,0.0,33.0,66,06-09-2024,13-07-2025,27-11-2025,4992.0,District Administration,Completed,Not Required,Yes,4,None,Pending,Partial,126.07,7
AH100039,Uttarakhand,Dehradun,Bypass,4.77,6.0,Compensation,0.0,0.0,74.2,1.0,152.0,116,22-07-2025,18-01-2024,09-04-2024,1943.0,District Administration,Completed,Pending,No,12,High,Complete,Complete,42.03,124
AH100040,Uttar Pradesh,Agra,Highway,8.06,6.0,Compensation,0.0,0.0,96.0,1.0,53.0,66,28-05-2024,07-03-2026,24-08-2026,3368.0,District Administration,,Completed,No,4,High,Pending,Partial,102.76,137
AH100041,Punjab,Patiala,Bypass,16.0,8.0,Compensation,1.0,1.0,69.6,2.0,73.0,120,13-11-2025,23-02-2024,30-07-2024,841.0,District Administration,Not Required,Completed,Yes,12,None,Pending,Pending,59.39,107
AH100042,Uttarakhand,Nainital,Highway,28.83,12.0,Notification,0.0,0.0,9.1,3.0,38.0,63,22-09-2025,02-05-2025,16-06-2025,4955.0,District Administration,Completed,Completed,Yes,24,None,Partial,Complete,73.62,79
AH100043,Madhya Pradesh,Bhopal,Road Widening,14.55,8.0,Objection,,0.0,26.1,2.0,127.0,145,15-11-2024,12-11-2024,26-04-2025,4935.0,NHAI,Pending,Pending,No,17,Low,Partial,Complete,169.97,70
AH100044,Rajasthan,Jaipur,Road Widening,96.83,38.0,Notification,0.0,0.0,8.0,4.0,38.0,124,02-03-2024,02-02-2024,23-07-2024,392.0,District Administration,Completed,Completed,No,22,None,Pending,Partial,82.54,11
AH100045,Himachal Pradesh,Kangra,Bypass,6.72,7.0,Possession,0.0,0.0,96.8,1.0,,54,23-05-2026,19-02-2025,12-07-2025,3233.0,NHAI,Not Required,Not Required,No,27,Low,Complete,Complete,45.85,5
AH100046,Haryana,Sirsa,Highway,22.41,8.0,Notification,1.0,0.0,16.5,0.0,,37,05-02-2025,22-04-2026,02-07-2026,2993.0,NHAI,Not Required,Completed,No,29,None,Pending,Partial,24.59,100
AH100047,Himachal Pradesh,Mandi,Highway,4.65,5.0,Possession,1.0,0.0,88.8,0.0,87.0,68,14-03-2026,30-05-2024,07-10-2024,909.0,Special LA Unit,Not Required,Completed,No,2,None,Partial,Complete,136.78,132
AH100048,Uttarakhand,Udham Singh Nagar,Road Widening,46.96,18.0,Notification,2.0,0.0,16.8,1.0,29.0,84,02-09-2025,20-09-2024,27-02-2025,3858.0,NHAI,Completed,Completed,No,9,None,Complete,Complete,161.51,58
AH100049,Punjab,Jalandhar,Bridge,37.92,12.0,Possession,0.0,0.0,88.3,0.0,47.0,45,01-12-2025,19-06-2024,18-11-2024,3834.0,NHAI,Completed,Completed,No,30,None,Complete,Pending,80.06,6
AH100050,Punjab,Patiala,Bypass,21.86,11.0,Compensation,1.0,0.0,67.0,1.0,64.0,100,14-11-2025,22-04-2024,25-07-2024,4228.0,State PWD,Completed,Completed,No,12,Medium,Partial,Partial,113.87,149
AH100051,Uttar Pradesh,Varanasi,Bypass,2.73,5.0,Compensation,0.0,0.0,80.3,1.0,105.0,110,24-06-2024,26-07-2024,09-12-2024,3029.0,Special LA Unit,Completed,Not Required,No,23,None,Complete,Complete,163.55,130
AH100052,Madhya Pradesh,Ujjain,Road Widening,21.69,11.0,Compensation,1.0,0.0,62.4,0.0,84.0,117,23-11-2024,29-05-2025,24-08-2025,3550.0,Special LA Unit,Pending,Completed,No,15,None,Partial,Pending,43.2,41
AH100053,Haryana,Rohtak,Road Widening,5.95,3.0,Compensation,1.0,0.0,79.7,1.0,130.0,127,24-02-2025,03-12-2025,09-02-2026,3626.0,District Administration,Not Required,Not Required,No,14,Low,Complete,Complete,50.53,118
AH100054,Haryana,Rohtak,Bypass,17.56,8.0,Compensation,1.0,1.0,56.9,0.0,210.0,188,24-03-2025,13-09-2025,21-01-2026,3848.0,NHAI,Pending,Not Required,Yes,9,None,Complete,Complete,40.16,95
AH100055,Rajasthan,Ajmer,Bypass,3.47,4.0,Objection,1.0,0.0,15.1,2.0,42.0,90,09-02-2024,25-11-2025,04-03-2026,2943.0,District Administration,Completed,Completed,No,18,None,Partial,Pending,166.68,51
AH100056,Haryana,Rohtak,Bypass,15.02,8.0,Possession,0.0,0.0,81.0,1.0,79.0,55,06-05-2025,06-10-2025,08-12-2025,3736.0,Special LA Unit,Completed,Completed,No,1,None,Partial,Complete,43.02,116
AH100057,Uttar Pradesh,Kanpur Nagar,Bypass,8.84,7.0,Compensation,1.0,3.0,85.5,2.0,58.0,124,18-05-2024,10-12-2024,18-04-2025,349.0,State PWD,Pending,Pending,No,29,Low,Complete,Complete,147.31,33
AH100058,Punjab,Firozpur,Bypass,6.16,5.0,Objection,2.0,1.0,12.9,4.0,79.0,134,31-10-2025,21-03-2026,07-06-2026,3107.0,State PWD,Completed,Not Required,No,24,Medium,Complete,Pending,114.92,147
AH100059,Uttarakhand,Dehradun,Highway,19.76,7.0,Objection,6.0,0.0,18.4,3.0,109.0,181,06-09-2025,04-06-2024,30-09-2024,1056.0,Special LA Unit,Completed,Not Required,No,6,None,Complete,Pending,12.51,98
AH100060,Himachal Pradesh,Sirmaur,Highway,11.43,5.0,Award,2.0,0.0,46.4,3.0,120.0,132,10-04-2026,21-09-2025,14-12-2025,2064.0,NHAI,Completed,Completed,No,18,None,Complete,Complete,161.5,142
AH100061,Punjab,Patiala,Bridge,10.03,,Possession,2.0,2.0,85.4,1.0,52.0,86,01-11-2025,09-04-2024,18-09-2024,3855.0,Special LA Unit,Not Required,Completed,No,29,None,Partial,Partial,69.51,55
AH100062,Madhya Pradesh,Jabalpur,Road Widening,22.35,10.0,Compensation,1.0,0.0,55.0,1.0,85.0,94,25-11-2024,20-11-2025,26-04-2026,613.0,State PWD,Completed,Pending,No,2,None,Complete,Complete,80.97,65
AH100063,Himachal Pradesh,,Highway,60.24,20.0,Objection,1.0,0.0,26.9,4.0,32.0,120,20-05-2026,19-03-2024,28-06-2024,3784.0,District Administration,Not Required,Completed,No,5,Medium,Partial,Partial,105.03,144
AH100064,Madhya Pradesh,Bhopal,Road Widening,15.09,10.0,Compensation,1.0,0.0,60.4,1.0,65.0,87,04-01-2025,13-07-2024,26-11-2024,1334.0,State PWD,Completed,Completed,Yes,15,Low,Complete,Complete,107.9,143
AH100065,Madhya Pradesh,Bhopal,Road Widening,2.57,1.0,Notification,1.0,0.0,12.1,2.0,34.0,70,20-10-2024,18-12-2024,12-02-2025,3781.0,District Administration,Pending,Pending,No,29,High,Partial,Complete,161.16,42
AH100066,Himachal Pradesh,Sirmaur,Bypass,3.18,1.0,Objection,1.0,0.0,18.7,2.0,76.0,117,25-03-2026,17-09-2025,15-03-2026,3844.0,Special LA Unit,Not Required,Not Required,No,2,None,Pending,Complete,110.29,20
AH100067,Madhya Pradesh,Indore,Bypass,12.66,6.0,Compensation,0.0,0.0,78.0,1.0,121.0,89,29-11-2024,10-02-2024,12-04-2024,125.0,State PWD,Not Required,Not Required,Yes,0,Medium,Partial,Complete,146.73,171
AH100068,Rajasthan,Jodhpur,Highway,28.57,9.0,Notification,0.0,0.0,17.6,2.0,82.0,106,09-03-2024,19-08-2024,26-01-2025,1207.0,NHAI,Completed,Pending,No,12,Medium,Pending,Pending,67.59,85
AH100069,Haryana,Hisar,Highway,13.39,5.0,Award,0.0,0.0,48.3,0.0,18.0,32,26-02-2025,27-10-2024,01-04-2025,4035.0,NHAI,Completed,Not Required,No,21,High,Complete,Partial,172.3,17
AH100070,Punjab,Amritsar,Highway,18.45,8.0,Notification,,0.0,4.3,0.0,38.0,58,17-12-2025,19-10-2025,14-12-2025,1743.0,Special LA Unit,Completed,Completed,No,20,None,Partial,Complete,163.15,99
AH100071,Uttar Pradesh,Agra,Bypass,11.36,8.0,Notification,0.0,0.0,15.9,1.0,63.0,95,19-06-2024,15-05-2026,15-06-2026,2223.0,Special LA Unit,,Completed,No,0,High,Pending,Complete,44.34,45
AH100072,Haryana,Ambala,Highway,27.05,11.0,Notification,1.0,0.0,7.6,2.0,24.0,78,20-02-2025,06-07-2025,23-11-2025,127.0,District Administration,Completed,Completed,No,13,Low,Pending,Pending,121.71,96
AH100073,Rajasthan,Kota,Road Widening,20.17,8.0,Notification,0.0,0.0,8.1,2.0,28.0,67,26-04-2024,01-04-2025,08-09-2025,3483.0,NHAI,Pending,Pending,No,14,Medium,Complete,Partial,15.53,88
AH100074,Uttarakhand,Udham Singh Nagar,Road Widening,5.02,1.0,Award,1.0,1.0,54.3,2.0,95.0,112,09-09-2025,29-10-2024,15-03-2025,511.0,Special LA Unit,Completed,Not Required,No,15,None,Partial,Complete,74.34,118
AH100075,Haryana,Rohtak,Road Widening,17.47,11.0,Possession,0.0,0.0,93.9,0.0,102.0,82,04-03-2025,10-01-2026,17-02-2026,1396.0,State PWD,Not Required,Not Required,No,0,None,Complete,Complete,104.68,84
AH100076,Madhya Pradesh,Indore,Road Widening,3.22,2.0,Notification,0.0,0.0,16.1,1.0,25.0,36,24-10-2024,06-04-2024,10-08-2024,2410.0,NHAI,Not Required,Pending,No,13,High,Complete,Complete,96.18,29
AH100077,Uttar Pradesh,Lucknow,Railway,17.48,8.0,Possession,0.0,0.0,91.7,0.0,89.0,65,23-07-2024,26-04-2024,23-07-2024,3859.0,State PWD,Pending,Completed,Yes,1,Medium,Partial,Complete,45.2,160
AH100078,Haryana,Panipat,Road Widening,9.39,2.0,Compensation,0.0,0.0,78.7,2.0,62.0,63,23-05-2025,30-06-2024,14-12-2024,2516.0,Special LA Unit,Pending,Completed,No,14,Medium,Pending,Partial,58.73,139
AH100079,Uttarakhand,Udham Singh Nagar,Highway,13.69,,Notification,0.0,0.0,6.0,1.0,24.0,60,25-08-2025,29-08-2024,26-01-2025,4912.0,Special LA Unit,Completed,Pending,No,24,None,Pending,Partial,32.43,4
AH100080,Himachal Pradesh,Kangra,Highway,15.73,6.0,Objection,3.0,0.0,28.9,3.0,23.0,114,26-04-2026,19-02-2025,18-07-2025,2635.0,District Administration,Completed,Pending,No,1,None,Complete,Complete,171.06,169
AH100081,Haryana,Sirsa,Road Widening,15.17,9.0,Objection,2.0,0.0,28.4,1.0,58.0,77,28-01-2025,01-05-2026,31-07-2026,1305.0,District Administration,Completed,Pending,Yes,28,None,Complete,Pending,162.6,143
AH100082,Uttar Pradesh,Prayagraj,,39.84,16.0,Compensation,1.0,0.0,68.5,0.0,163.0,142,24-05-2024,08-08-2025,25-10-2025,994.0,Special LA Unit,Not Required,Completed,No,17,None,Partial,Complete,156.54,125
AH100083,Punjab,Ludhiana,Railway,12.29,6.0,Compensation,0.0,0.0,84.9,1.0,94.0,78,19-01-2026,11-12-2024,13-05-2025,3931.0,District Administration,Completed,Completed,No,22,None,Complete,Complete,59.3,28
AH100084,Uttarakhand,Dehradun,Highway,14.02,4.0,Objection,1.0,0.0,8.7,0.0,38.0,66,20-07-2025,09-07-2024,25-08-2024,2324.0,State PWD,Completed,Completed,No,14,None,Partial,Complete,133.79,96
AH100085,Uttarakhand,Nainital,Bypass,36.98,14.0,Notification,0.0,0.0,7.9,0.0,39.0,60,22-09-2025,06-08-2025,20-09-2025,3044.0,NHAI,Pending,Pending,Yes,26,None,Complete,Complete,149.65,41
AH100086,Rajasthan,Jodhpur,Highway,59.88,22.0,Notification,1.0,0.0,6.4,2.0,34.0,107,28-03-2024,15-08-2024,23-09-2024,1882.0,NHAI,Completed,Completed,Yes,8,None,Complete,Complete,6.97,123
AH100087,Madhya Pradesh,Gwalior,Railway,11.76,6.0,Compensation,2.0,1.0,73.9,1.0,141.0,161,08-10-2024,28-05-2026,11-09-2026,1401.0,NHAI,Not Required,Not Required,No,4,None,Complete,Complete,104.33,13
AH100088,Punjab,Ludhiana,Highway,7.73,1.0,Notification,0.0,0.0,9.8,1.0,18.0,46,22-11-2025,05-03-2025,15-04-2025,3019.0,Special LA Unit,Not Required,Not Required,No,14,None,Complete,Complete,103.83,139
AH100089,Punjab,Hoshiarpur,Road Widening,8.06,2.0,Award,0.0,0.0,58.4,1.0,47.0,51,19-01-2026,10-05-2025,04-09-2025,1507.0,NHAI,Completed,Not Required,No,18,None,Partial,Complete,5.85,119
AH100090,Haryana,Sirsa,Highway,17.52,7.0,Compensation,1.0,1.0,83.8,0.0,27.0,67,26-01-2025,24-03-2026,18-05-2026,4999.0,NHAI,Pending,Completed,Yes,26,None,Partial,Complete,55.51,162
AH100091,Punjab,Bathinda,Road Widening,10.05,6.0,Compensation,1.0,0.0,76.6,0.0,42.0,40,25-12-2025,01-10-2024,13-03-2025,3671.0,Special LA Unit,Completed,Completed,No,15,Low,Complete,Complete,150.02,75
AH100092,Punjab,Ludhiana,Highway,2.7,1.0,Notification,1.0,0.0,7.9,2.0,42.0,59,27-01-2026,28-02-2025,02-06-2025,4106.0,State PWD,Completed,Completed,No,2,None,Complete,Partial,169.27,46
AH100093,Madhya Pradesh,Ujjain,Railway,31.02,15.0,Award,0.0,0.0,49.5,5.0,121.0,158,14-12-2024,23-04-2025,06-06-2025,1457.0,NHAI,Not Required,Completed,Yes,26,Medium,Partial,Complete,44.32,47
AH100094,Himachal Pradesh,Shimla,Road Widening,23.88,12.0,Award,1.0,0.0,63.6,2.0,105.0,149,19-03-2026,31-08-2024,12-01-2025,194.0,Special LA Unit,Completed,Completed,No,25,None,Complete,Partial,164.64,135
AH100095,Madhya Pradesh,Indore,Bridge,31.65,11.0,Compensation,3.0,0.0,67.7,0.0,40.0,89,16-09-2024,19-02-2024,09-05-2024,286.0,Special LA Unit,Not Required,Completed,No,17,None,Partial,Complete,167.83,151
AH100096,Uttar Pradesh,Varanasi,Railway,37.43,19.0,Award,0.0,1.0,38.2,1.0,61.0,120,03-08-2024,12-09-2024,20-11-2024,4301.0,District Administration,,Not Required,No,1,Medium,Complete,Complete,80.69,129
AH100097,Uttarakhand,Dehradun,Road Widening,14.04,7.0,Award,0.0,0.0,58.5,0.0,54.0,64,06-09-2025,11-04-2024,17-08-2024,4376.0,NHAI,Pending,Not Required,No,28,Low,Partial,Complete,12.94,171
AH100098,Uttarakhand,Nainital,Bypass,14.9,6.0,Notification,1.0,0.0,10.2,4.0,98.0,146,27-07-2025,31-08-2025,20-02-2026,3413.0,District Administration,Completed,Not Required,Yes,20,Low,Pending,Complete,93.86,15
AH100099,Rajasthan,Jaipur,Highway,28.1,12.0,Compensation,0.0,0.0,93.8,0.0,39.0,73,05-05-2024,07-01-2024,01-07-2024,2965.0,Special LA Unit,Completed,Completed,No,28,Medium,Partial,Partial,74.92,95
AH100100,Punjab,Bathinda,Road Widening,4.25,3.0,Compensation,0.0,0.0,64.5,0.0,69.0,60,19-01-2026,11-10-2024,14-01-2025,1085.0,Special LA Unit,Completed,Pending,No,3,High,Pending,Complete,116.9,176
AH100101,Uttar Pradesh,Agra,Highway,8.85,5.0,Compensation,1.0,0.0,78.8,0.0,140.0,132,28-06-2024,06-03-2026,10-08-2026,3804.0,District Administration,Completed,Completed,No,10,None,Complete,Complete,13.84,145
AH100102,Punjab,Hoshiarpur,Railway,11.35,3.0,Compensation,0.0,0.0,76.9,0.0,97.0,68,25-12-2025,26-05-2025,26-07-2025,2605.0,Special LA Unit,Completed,Pending,No,7,High,Pending,Complete,60.35,13
AH100103,Rajasthan,Ajmer,Highway,26.14,10.0,Possession,0.0,0.0,98.7,0.0,43.0,61,07-01-2024,27-08-2025,30-01-2026,3035.0,Special LA Unit,Completed,Pending,No,23,High,Complete,Complete,14.5,14
AH100104,Punjab,Amritsar,,7.55,5.0,Possession,0.0,0.0,90.4,0.0,76.0,55,18-12-2025,24-08-2025,11-02-2026,168.0,NHAI,Pending,Completed,No,9,None,Complete,Complete,6.11,95
AH100105,Punjab,Bathinda,Road Widening,6.52,5.0,Objection,1.0,0.0,22.7,2.0,50.0,80,09-12-2025,25-09-2024,10-01-2025,2606.0,District Administration,Completed,Completed,Yes,27,None,Complete,Partial,63.53,124
AH100106,Punjab,Amritsar,Highway,8.28,7.0,Objection,1.0,0.0,,0.0,76.0,90,03-12-2025,23-07-2025,08-11-2025,3483.0,District Administration,Completed,Completed,Yes,12,Low,Complete,Complete,93.95,142
AH100107,Uttarakhand,Dehradun,Highway,17.8,7.0,Possession,3.0,0.0,91.8,1.0,16.0,54,21-08-2025,18-07-2024,09-11-2024,3861.0,Special LA Unit,Pending,Completed,No,11,Medium,Partial,Pending,161.32,83
AH100108,Haryana,Ambala,Highway,11.27,5.0,Compensation,3.0,2.0,72.3,2.0,81.0,117,28-02-2025,25-07-2025,03-09-2025,770.0,District Administration,,Completed,Yes,19,None,Partial,Complete,14.33,151
AH100109,Uttarakhand,Nainital,Bypass,3.48,1.0,Possession,1.0,0.0,93.2,1.0,32.0,12,26-09-2025,06-09-2025,11-02-2026,209.0,District Administration,Completed,Completed,No,24,None,Complete,Pending,98.94,133
AH100110,Uttar Pradesh,Agra,Highway,4.11,5.0,Award,0.0,0.0,32.8,2.0,20.0,65,06-09-2024,27-02-2026,17-07-2026,4285.0,District Administration,Completed,Not Required,Yes,12,None,Pending,Pending,166.97,104
AH100111,Punjab,Firozpur,Highway,13.41,5.0,Possession,0.0,0.0,97.1,0.0,19.0,36,03-12-2025,07-04-2026,14-09-2026,1593.0,State PWD,Completed,Completed,No,0,Low,Partial,Pending,174.95,24
AH100112,Haryana,Karnal,Bridge,13.8,5.0,Notification,1.0,0.0,22.6,1.0,33.0,70,15-05-2025,22-01-2024,09-03-2024,2390.0,State PWD,Completed,Completed,No,28,None,Complete,Pending,56.41,37
AH100113,Haryana,Panipat,Bridge,12.22,6.0,Compensation,2.0,0.0,77.9,0.0,48.0,54,17-02-2025,26-09-2024,23-02-2025,3155.0,Special LA Unit,Completed,Not Required,No,13,None,Partial,Partial,120.64,166
AH100114,Haryana,Ambala,Highway,8.0,1.0,Award,0.0,0.0,53.6,3.0,29.0,56,31-03-2025,07-05-2025,30-07-2025,2482.0,Special LA Unit,Completed,Not Required,Yes,3,High,Partial,Complete,3.32,172
